41 41 798
1 25 1 26
21 27 21 28
35 1 34 1
7 19 7 18
27 23 28 23
33 11 32 11
5 9 4 9
29 5 28 5
3 29 3 30
23 1 24 1
19 35 19 34
37 23 36 23
17 5 18 5
29 23 28 23
11 1 12 1
21 15 21 14
11 31 11 32
5 25 5 24
5 25 4 25
13 27 12 27
29 17 28 17
29 33 29 34
19 33 19 34
21 23 20 23
29 5 29 4
25 29 25 28
37 5 37 6
1 23 2 23
35 35 34 35
5 13 4 13
1 5 1 4
33 21 34 21
11 13 12 13
1 9 1 8
13 33 13 34
15 1 14 1
21 31 21 32
35 3 35 2
39 29 39 30
35 31 34 31
13 1 14 1
3 7 2 7
11 17 11 16
23 11 23 10
3 31 3 32
27 39 28 39
5 31 5 32
29 13 28 13
33 27 34 27
37 25 38 25
23 35 23 34
17 35 16 35
23 13 23 12
33 11 34 11
3 19 3 20
31 37 30 37
11 35 10 35
1 5 1 6
33 27 33 28
39 1 38 1
3 31 3 30
11 15 11 14
23 33 23 32
33 17 32 17
33 9 33 8
31 11 32 11
11 1 10 1
9 33 9 34
11 21 12 21
7 37 7 36
19 9 19 8
23 23 23 22
33 5 32 5
9 21 8 21
29 9 30 9
19 27 18 27
7 11 6 11
25 7 25 8
17 31 16 31
3 11 3 10
31 13 30 13
5 3 6 3
13 5 12 5
23 5 22 5
33 1 32 1
31 31 32 31
25 3 24 3
21 1 20 1
9 25 10 25
5 19 5 18
23 37 22 37
27 5 27 6
3 9 3 8
15 7 16 7
9 13 10 13
9 7 10 7
23 3 23 4
5 39 5 38
29 19 30 19
17 31 17 32
7 31 7 30
35 9 36 9
1 7 1 8
31 31 30 31
27 19 28 19
21 9 21 8
19 39 19 38
31 17 31 16
11 31 11 30
3 11 4 11
29 5 30 5
17 39 17 38
11 3 11 4
35 13 35 14
1 29 1 28
17 7 17 8
37 13 37 12
35 35 35 36
7 13 6 13
7 27 7 26
1 1 1 2
9 9 8 9
35 19 35 20
21 5 20 5
11 39 11 38
1 3 1 2
21 23 21 22
9 11 9 12
31 13 31 14
9 17 9 16
35 27 35 28
19 5 19 4
19 3 19 4
11 25 12 25
29 7 30 7
21 5 22 5
3 17 3 16
39 5 39 4
27 13 27 12
21 13 20 13
23 31 23 32
3 15 3 16
11 29 11 30
25 23 24 23
15 35 15 36
31 3 31 2
13 39 12 39
5 17 5 16
37 7 38 7
15 9 15 10
25 17 24 17
7 37 6 37
29 39 29 38
11 21 11 20
25 35 26 35
35 19 36 19
7 5 7 4
23 25 22 25
15 37 15 38
29 25 29 26
29 37 29 38
1 33 2 33
13 35 12 35
9 5 10 5
39 7 39 6
39 11 38 11
31 19 32 19
3 19 3 18
1 7 2 7
15 23 14 23
25 21 25 20
31 3 30 3
35 29 35 28
1 21 1 20
19 23 18 23
17 37 17 38
27 29 28 29
37 3 37 2
39 13 39 14
1 11 1 12
37 35 37 36
11 29 10 29
19 27 19 26
27 21 27 22
17 11 17 12
39 33 39 34
37 31 37 30
29 25 29 24
25 23 26 23
9 35 8 35
17 13 16 13
7 17 7 18
5 7 4 7
31 19 31 18
19 37 20 37
33 37 33 38
19 13 19 14
9 3 10 3
29 15 29 14
29 37 30 37
39 23 39 24
27 13 26 13
39 35 38 35
19 3 19 2
1 37 1 38
23 9 22 9
1 27 1 26
13 33 14 33
11 21 10 21
33 35 34 35
3 25 2 25
5 17 5 18
17 1 18 1
29 23 30 23
9 11 8 11
29 11 28 11
11 5 12 5
7 7 7 8
23 31 23 30
33 31 34 31
17 13 17 12
37 15 38 15
11 33 11 34
11 27 10 27
3 29 3 28
27 25 26 25
7 39 6 39
11 11 12 11
23 31 24 31
39 31 39 32
21 21 21 22
31 7 30 7
7 11 8 11
15 29 16 29
7 27 8 27
1 17 1 16
5 33 5 32
35 5 36 5
23 3 24 3
21 1 22 1
17 19 16 19
27 23 26 23
1 35 1 36
1 13 2 13
39 25 39 24
9 21 10 21
3 21 3 22
9 7 9 8
11 19 11 20
25 5 26 5
39 7 38 7
39 15 39 16
23 19 22 19
31 27 31 26
39 27 39 26
3 33 4 33
5 11 6 11
31 17 31 18
25 9 24 9
33 3 32 3
33 9 32 9
31 15 31 14
19 5 19 6
23 37 23 36
31 23 30 23
15 17 14 17
37 29 37 28
35 33 34 33
19 1 19 2
37 21 37 20
17 19 18 19
15 9 14 9
5 21 4 21
17 31 18 31
31 35 31 36
37 9 36 9
19 7 20 7
23 17 22 17
19 7 18 7
19 31 20 31
7 15 6 15
31 15 31 16
23 9 24 9
7 19 6 19
29 21 28 21
3 25 3 24
7 23 8 23
13 5 13 4
35 25 34 25
11 31 10 31
1 19 1 20
11 33 11 32
31 7 31 8
19 19 19 20
13 1 13 2
19 5 20 5
31 29 30 29
27 5 28 5
7 21 8 21
39 27 38 27
13 31 13 30
21 25 22 25
21 11 21 12
9 17 9 18
37 39 38 39
15 27 14 27
21 19 21 18
25 5 25 6
23 39 23 38
19 35 20 35
19 23 19 24
13 27 14 27
11 37 10 37
25 9 25 8
27 31 28 31
17 35 17 34
25 21 25 22
35 39 36 39
27 1 28 1
19 31 18 31
31 9 32 9
37 19 37 20
27 7 27 6
23 15 22 15
19 21 19 20
11 13 11 14
21 35 22 35
9 1 10 1
3 25 4 25
3 13 3 14
37 11 37 12
3 33 3 32
19 15 19 14
15 31 15 32
13 1 12 1
15 21 15 22
3 9 3 10
27 11 26 11
35 25 35 24
23 21 23 20
7 3 7 2
25 7 25 6
27 15 27 14
39 35 39 34
19 39 20 39
5 15 6 15
5 37 6 37
27 17 27 16
39 11 39 12
19 7 19 8
29 13 30 13
11 35 11 36
3 23 3 24
9 29 10 29
33 19 32 19
25 25 26 25
23 37 23 38
1 15 1 16
29 35 29 34
17 7 16 7
33 23 33 24
7 21 7 22
1 35 2 35
27 11 28 11
29 39 28 39
15 33 14 33
13 13 12 13
5 27 6 27
19 13 18 13
39 37 39 36
3 37 3 36
33 29 32 29
37 29 37 30
21 33 21 32
13 9 12 9
1 7 1 6
5 37 5 38
39 17 39 18
37 5 36 5
3 31 2 31
21 7 21 8
27 37 26 37
27 13 27 14
15 35 16 35
11 9 12 9
13 19 12 19
9 11 9 10
29 9 28 9
35 37 34 37
29 33 30 33
35 15 35 14
39 15 39 14
21 15 22 15
31 1 31 2
29 27 29 26
27 9 28 9
27 5 26 5
37 1 38 1
3 33 3 34
7 35 6 35
31 5 31 6
15 15 15 16
11 21 11 22
1 15 1 14
15 37 15 36
19 7 19 6
15 39 16 39
5 3 5 2
21 7 22 7
37 31 36 31
35 1 35 2
21 37 22 37
3 35 2 35
31 3 32 3
11 27 11 28
17 21 17 20
19 25 19 26
1 19 2 19
37 39 36 39
31 19 30 19
11 13 10 13
37 37 37 36
23 11 23 12
27 39 27 38
5 11 5 12
5 1 5 2
33 29 33 28
11 5 11 4
13 23 12 23
13 3 13 4
13 35 13 34
19 13 20 13
9 25 8 25
5 35 6 35
15 7 15 6
19 29 19 30
15 11 15 12
33 1 34 1
33 25 34 25
11 35 12 35
37 17 38 17
35 21 35 20
11 15 11 16
39 35 39 36
9 15 8 15
39 29 39 28
31 9 30 9
37 1 36 1
25 1 24 1
27 27 28 27
17 39 16 39
27 25 27 26
33 15 33 14
11 7 11 6
7 33 7 32
15 13 15 12
33 23 33 22
25 35 25 34
11 23 12 23
9 31 10 31
33 9 34 9
15 25 14 25
39 21 39 20
7 3 7 4
35 37 35 36
17 27 18 27
31 37 31 36
7 9 7 8
13 21 12 21
23 9 23 10
25 19 25 20
39 31 39 30
37 11 36 11
15 1 15 2
19 1 18 1
13 9 14 9
1 25 2 25
25 27 25 28
33 39 33 38
35 25 35 26
7 23 7 22
23 29 23 30
23 5 23 4
5 13 5 12
13 23 13 24
39 9 39 10
27 27 27 26
9 15 10 15
15 33 15 32
21 9 22 9
31 5 32 5
33 33 34 33
39 25 39 26
7 3 6 3
23 21 22 21
13 25 12 25
23 25 23 24
33 13 33 14
11 5 10 5
29 29 30 29
19 31 19 30
9 23 8 23
39 17 38 17
39 15 38 15
9 15 9 16
15 31 16 31
31 33 30 33
21 29 21 28
3 7 3 8
23 7 22 7
11 39 12 39
3 1 2 1
13 35 13 36
39 5 39 6
13 29 13 30
13 11 12 11
21 13 21 14
19 15 19 16
23 19 23 20
25 31 24 31
39 13 39 12
21 39 20 39
13 25 13 24
25 33 26 33
17 29 16 29
7 27 6 27
15 23 15 22
39 27 39 28
3 5 3 4
17 19 17 20
13 3 13 2
1 13 1 14
23 35 22 35
7 5 6 5
17 21 17 22
27 37 27 38
33 7 33 8
31 35 32 35
3 21 4 21
29 27 28 27
21 35 20 35
29 39 30 39
21 1 21 2
7 35 8 35
